Sentence,Sentiment,entities
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,"[('5 %', 'PERCENT'), ('Finland', 'GPE'), ('4 %', 'PERCENT'), ('Sweden', 'GPE'), ('2008', 'DATE')]"
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,"[('$SAP Q1', 'MONEY'), ('#', 'CARDINAL'), ('Cloud', 'PERSON'), ('$MSFT $', 'MONEY'), ('ORCL', 'ORG'), ('$CRM $', 'MONEY')]"
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"[('last year', 'DATE'), ('EUR', 'ORG'), ('2008', 'DATE'), ('EUR 44.5 million', 'MONEY')]"
Viking Line has canceled some services .,neutral,"[('Viking Line', 'PERSON')]"
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,"[('Ahlstrom Corporation STOCK EXCHANGE', 'ORG'), ('7.2.2007', 'CARDINAL'), ('10.30', 'CARDINAL'), ('56,955', 'CARDINAL'), ('Ahlstrom Corporation', 'ORG'), ('2001', 'DATE'), ('2001', 'DATE')]"
$FB gone green on day,positive,[]
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,"[('SQL Server', 'ORG'), ('SQL Server Premium', 'ORG'), ('over 30%', 'PERCENT')]"
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"[('L+ñnnen', 'PRODUCT'), ('Matti Karppinen', 'PERSON'), ('a day earlier', 'DATE')]"
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,"[('NASDAQ', 'ORG'), ('OMX Helsinki', 'PRODUCT')]"
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,[]
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,"[('Two', 'CARDINAL'), ('Gansu Hualu Aluminum Co Ltd', 'ORG')]"
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"[('Friends Life', 'ORG'), ('5.6 billion pound', 'QUANTITY')]"
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"[('Teho', 'ORG')]"
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,"[('several dozen', 'CARDINAL'), ('2010', 'DATE')]"
The company closed last year with a turnover of about four million euros .,neutral,"[('last year', 'DATE'), ('about four million', 'CARDINAL')]"
Shire CEO steps up drive to get Baxalta board talking,positive,"[('Shire', 'ORG'), ('Baxalta', 'ORG')]"
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,"[('Costco', 'ORG')]"
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"[('five', 'CARDINAL'), ('about 15,000', 'CARDINAL')]"
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"[('first', 'ORDINAL'), ('Finnish', 'NORP'), ('Olavi Linden', 'PERSON'), ('Fiskars', 'ORG'), ('dozens', 'CARDINAL')]"
All are welcome .,neutral,[]
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"[('Stockmann', 'ORG'), ('Swedish', 'NORP'), ('AB Lindex', 'ORG'), ('September 30 , 2007', 'DATE'), ('Stockmann', 'ORG'), ('Lindex', 'ORG')]"
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"[('HUHTAMAKI OYJ STOCK EXCHANGE', 'ORG'), ('16.9.2008', 'CARDINAL'), ('13.32', 'CARDINAL'), (""Huhtamaki 's Capital Markets Day"", 'ORG'), ('Espoo', 'GPE'), ('September 16 , 2008', 'DATE'), ('13.30 pm', 'TIME'), ('Finnish', 'NORP')]"
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,"[('Tapeks Noma', 'PERSON'), ('Cramo', 'ORG')]"
- Profit before taxes was EUR 105.9 82.7 million .,neutral,"[('EUR', 'ORG'), ('105.9 82.7 million', 'MONEY')]"
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,"[('Royal Dutch Shell', 'ORG'), ('Buy BG Group', 'ORG'), ('Nearly $70 Billion', 'MONEY')]"
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"[('FinancialWire', 'ORG')]"
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,"[('ASSA ABLOY Kaupthing Bank', 'ORG'), ('174', 'CARDINAL'), ('24.7', 'MONEY'), ('Swedish', 'NORP'), ('Assa Abloy AB', 'ORG')]"
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"[('EUR1', 'ORG'), ('a year earlier', 'DATE'), ('EUR13', 'GPE'), ('EUR 0.1', 'ORG')]"
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,"[('2005', 'DATE'), ('Lt 8.2', 'PERSON')]"
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,"[('AAPL afternoon', 'WORK_OF_ART'), ('a ton', 'QUANTITY')]"
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,[]
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"[('Dolce & Gabbana', 'ORG'), ('the European Union', 'ORG'), (""Marimekko Corporation 's"", 'ORG'), ('Unikko', 'ORG'), ('two', 'CARDINAL')]"
InterContinental Hotels first-quarter global room revenue lags estimates,negative,"[('InterContinental Hotels', 'ORG'), ('first-quarter', 'DATE')]"
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"[('Finnish', 'NORP'), ('Varma', 'PERSON'), ('Varma', 'PERSON'), ('over two thirds', 'CARDINAL'), ('Finland', 'GPE')]"
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"[('$ 12.5 million', 'MONEY'), ('Finnish', 'NORP'), ('Nokia Oyj', 'PERSON')]"
"L&G still paying price for dividend cut during crisis, chief says",negative,"[('L&G', 'ORG')]"
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,"[('two', 'CARDINAL'), ('EUR', 'ORG'), ('215.03', 'CARDINAL')]"
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"[('Russia', 'GPE'), ('9 %', 'PERCENT'), ('Lagardere', 'ORG'), ('EUR', 'ORG'), ('2009', 'DATE'), ('USA', 'GPE'), ('18 %', 'PERCENT')]"
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"[('2010', 'DATE'), ('2009', 'DATE'), ('141.7 million', 'CARDINAL')]"
Profit of the accounting period was EUR 0.3 mn .,neutral,"[('EUR 0.3', 'ORG')]"
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"[('six', 'CARDINAL'), ('5.2 percent', 'PERCENT'), ('last year', 'DATE'), ('270.21 million', 'CARDINAL'), ('256.88 million', 'CARDINAL'), ('2005', 'DATE')]"
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"[('August-October 2010', 'DATE'), ('EUR', 'ORG'), ('9.6', 'CARDINAL'), ('EUR 0.5', 'ORG'), ('2009', 'DATE')]"
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"[('Systeemitiimi', 'GPE'), ('Paul Skogberg', 'PERSON')]"
Tesco share price jumps as Q3 sales top estimates,positive,"[('Tesco', 'ORG'), ('Q3', 'PRODUCT')]"
The fine print is here .,neutral,[]
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,"[('2009', 'DATE')]"
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"[('SysOpen Digia', 'PERSON'), ('Chapter 14 Section 21', 'LAW'), ('Finnish', 'NORP'), ('Sentera', 'ORG')]"
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,"[('Diluted', 'ORG'), ('EPS', 'ORG'), ('EUR 0.63', 'ORG'), ('EUR 1.71', 'ORG')]"
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"[('3:37 p.m. Eastern time', 'TIME'), ('2,400', 'CARDINAL'), ('0.45', 'MONEY')]"
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"[('Anrak Aluminium', 'ORG'), ('Tata Steel', 'ORG'), ('Bhushan Steel', 'ORG')]"
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,"[('May', 'DATE')]"
The firm generated sales of 187 mln eur in 2005 .,neutral,"[('187', 'CARDINAL'), ('2005', 'DATE')]"
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"[('Stora Enso', 'PERSON'), ('Employment and Economic Development Centres', 'ORG')]"
AstraZeneca profit down as sales of stalwarts fade,negative,"[('AstraZeneca', 'ORG')]"
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"[('RT @andrewnyquist Chartology', 'ORG')]"
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,"[('Twitter', 'PERSON'), ('STZ', 'PERSON'), ('$GOLD $EW $', 'MONEY'), ('CELG', 'ORG'), ('SBUX', 'PERSON'), ('SCTY', 'PERSON')]"
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,"[(""Finnish GeoSentric 's"", 'ORG'), ('January-March 2009', 'DATE')]"
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"[('Cohen & Steers , Inc.', 'ORG'), ('5 534', 'CARDINAL'), ('626', 'CARDINAL'), ('4.985 %', 'PERCENT')]"
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,"[('Japan', 'GPE'), ('close to 50', 'CARDINAL'), ('more than 20', 'CARDINAL')]"
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"[('Stora Enso', 'PERSON'), ('1.62', 'CARDINAL'), ('12.73', 'CARDINAL'), ('UPM-Kymmene', 'ORG'), ('0.80', 'CARDINAL'), ('18.64', 'CARDINAL'), ('0.18', 'CARDINAL'), ('5.57', 'CARDINAL')]"
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,"[(""Kauko-Telko 's"", 'ORG'), ('Group', 'ORG'), ('the end of the year', 'DATE')]"
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,"[('the quarter April-June 2006', 'DATE'), ('EUR182 .2', 'MONEY'), ('EUR3', 'GPE')]"
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,"[('Atria', 'PERSON'), ('DeLight', 'PERSON'), ('25-45', 'DATE'), ('Atria Fresh', 'ORG')]"
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,"[('Finnish', 'NORP'), ('Affecto Oyj HEL', 'PERSON'), ('today', 'DATE'), ('EUR', 'ORG'), ('the second quarter of 2010', 'DATE'), ('EUR 845,000', 'ORG'), ('a year earlier', 'DATE')]"
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,"[('US', 'GPE'), ('Gazprom-Shell', 'ORG')]"
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"[('10.9', 'CARDINAL'), ('EUR', 'ORG'), ('14.3', 'CARDINAL'), ('2009', 'DATE')]"
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"[('EUR 5.9', 'PRODUCT'), ('EUR 1.3', 'ORG')]"
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,"[('EUR 20.3', 'ORG'), ('EUR', 'ORG'), ('the second quarter of 2008', 'DATE')]"
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"[('April-June 2010', 'DATE'), ('Pekka Eloholma', 'ORG')]"
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,"[('EUR', 'ORG'), ('18.6', 'CARDINAL'), ('8.3 %', 'PERCENT')]"
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"[('Kauhava', 'PERSON')]"
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,"[('Digia', 'GPE'), ('19', 'CARDINAL'), ('Nokia', 'GPE'), ('Oslo', 'GPE'), ('Silicon Valley', 'LOC'), ('USA', 'GPE')]"
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"[('Brazilian', 'NORP'), ('Finnish', 'NORP'), ('F-Secure', 'PRODUCT'), ('1,500', 'CARDINAL'), ('last year', 'DATE'), ('Reseller', 'ORG'), ('Vladimir Brand+úo', 'PERSON')]"
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,"[('EUR 2.768 billion', 'MONEY'), ('the end of 2009', 'DATE'), ('EUR 2.916 billion', 'MONEY'), ('a year earlier', 'DATE')]"
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"[('just 9.48', 'CARDINAL'), ('the quarter', 'DATE'), ('5', 'CARDINAL'), ('20 mln', 'QUANTITY')]"
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,"[('LTE', 'ORG'), ('Japanese', 'NORP')]"
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,"[('the start of October 2008', 'DATE')]"
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"[('Metso', 'ORG'), ('30 September 2008', 'DATE')]"
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"[('six', 'CARDINAL'), ('two', 'CARDINAL'), ('three', 'CARDINAL'), ('only one', 'CARDINAL')]"
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"[('September 2010', 'DATE'), ('Finnish', 'NORP'), ('Danish', 'NORP'), ('Rose Poultry', 'ORG'), ('EUR23 .9 m', 'ORG')]"
$YANG Double bottom 5.2,positive,"[('YANG Double', 'PERSON'), ('5.2', 'CARDINAL')]"
Tesco share price down as grocer faces SFO investigation outcome,negative,"[('Tesco', 'ORG'), ('SFO', 'ORG')]"
$aapl news is becoming very bullish again http://stks.co/tMU,positive,[]
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"[('GS Engineering', 'ORG'), ('LNG', 'ORG'), ('UAE LNG', 'ORG'), ('Ruwais', 'GPE'), ('UAE', 'GPE')]"
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,"[('the Trade Register', 'ORG')]"
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"[('some months', 'DATE')]"
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"[('Lember', 'ORG'), ('Estonia', 'GPE'), ('the Social Affairs Ministry', 'ORG')]"
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,"[(""Moody 's"", 'ORG'), ('P-1', 'NORP'), ('Finnish', 'NORP'), (""Aktia Bank 's EUR1bn USD1"", 'ORG'), ('EMTN', 'ORG'), ('25 March 2011', 'DATE')]"
$TSLA recall,negative,[]
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"[('May 11 , 2007', 'DATE'), ('Group Oyj', 'PERSON'), ('below 0.50 cent', 'MONEY'), (""Aspocomp 's stock exchange"", 'ORG'), ('11.5.2007', 'DATE')]"
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,"[('2.6 percent', 'PERCENT')]"
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"[('12.59 pm', 'TIME'), ('25', 'CARDINAL'), ('0.32', 'CARDINAL'), ('2,694.81', 'CARDINAL')]"
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,"[('Nastola and Jyvaskyla', 'ORG'), ('Finland', 'GPE')]"
The value of the orders is over EUR 10mn .,neutral,"[('EUR 10mn', 'ORG')]"
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,"[('Ms Laakso', 'PERSON'), ('HKScan', 'ORG'), ('Group', 'ORG')]"
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"[('Fiskars', 'ORG'), ('Wartsila Corporation', 'ORG')]"
Aberdeen Asset Management Gains Foothold In China,positive,"[('Aberdeen Asset Management Gains Foothold', 'ORG'), ('China', 'GPE')]"
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,"[('Finland', 'GPE'), ('VR', 'WORK_OF_ART')]"
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"[('November', 'DATE'), ('Finnish', 'NORP'), ('31.1 percent', 'PERCENT'), ('38 percent', 'PERCENT')]"
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"[('Finnish Exel Composites', 'ORG'), ('0.6 %', 'PERCENT'), ('the second quarter of 2010', 'DATE'), ('EUR', 'ORG'), ('19.2', 'CARDINAL'), ('EUR', 'ORG'), ('19.3', 'CARDINAL'), ('2009', 'DATE')]"
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"[('Bavelloni', 'PERSON'), ('NST', 'ORG'), ('Bavelloni Tools', 'PERSON'), ('Italy', 'GPE'), ('DiaPol', 'ORG')]"
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,[]
$GOOGL is a short below 740 into the upper BB and is overbought,negative,"[('GOOGL', 'PERSON'), ('740', 'CARDINAL'), ('BB', 'GPE')]"
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"[('Luceplan', 'GPE')]"
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"[('UPM-Kymmene Corp.', 'ORG'), ('Tuesday', 'DATE'), ('19-percent', 'PERCENT')]"
The total value of the contract is some EUR 8 million .,neutral,"[('some EUR 8 million', 'MONEY')]"
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,"[('Aspo', 'ORG'), ('Board', 'ORG')]"
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,"[('Doring', 'PERSON'), ('Eaton', 'GPE'), ('1989', 'DATE'), ('Business Unit', 'ORG'), ('Eaton', 'GPE'), ('Power Controls Business Unit', 'ORG'), ('January 2007', 'DATE')]"
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,"[('250 sq m', 'MONEY'), ('2,691', 'CARDINAL'), ('Copenhagen', 'ORG'), ('today', 'DATE'), ('Nordic', 'NORP')]"
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,"[('the first quarter of 2010', 'DATE'), ('Tikkurila', 'PERSON')]"
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"[('second', 'ORDINAL'), ('three-month', 'DATE'), ('Dec. 31', 'DATE'), ('US$ 781 million', 'MONEY'), ('euro3', 'PERSON'), ('4.31', 'MONEY'), ('euro172 million', 'CARDINAL'), ('the previous year', 'DATE')]"
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,"[('Mammila Tuomo', 'PERSON'), ('Piirainen Mika', 'PERSON'), ('Kellokoski MikaApplication', 'ORG'), ('2424', 'DATE'), ('Application', 'ORG'), ('16-06', 'CARDINAL')]"
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,"[('Netflix Grows Efforts To Create Loyal Customers', 'ORG'), ('NFLX', 'ORG')]"
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,"[('40', 'CARDINAL'), ('Nordic', 'ORG'), ('the Nasdaq OMX exchange', 'ORG'), ('0.87 %', 'PERCENT'), ('1,064.14', 'CARDINAL'), ('Thursday', 'DATE')]"
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,"[('525', 'CARDINAL'), ('13min', 'CARDINAL')]"
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,"[('Aker Yards Cruise & Ferries', 'ORG'), ('8.3 % to 6.4 %', 'PERCENT'), ('the first quarter of 2007', 'DATE')]"
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,"[('TYC', 'ORG')]"
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,"[('Group', 'ORG'), ('Human Resources', 'ORG'), ('year-long', 'DATE'), ('October 1 , 2010', 'DATE')]"
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",neutral,"[('LULU', 'PERSON'), ('Numbers', 'ORG')]"
The adjustment measures will be carried out in phases to secure the delivery capability .,neutral,[]
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",neutral,"[('Alma Media Corporation Press Release', 'ORG'), ('March 2010', 'DATE'), ('TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT', 'ORG'), ('Two', 'CARDINAL'), ('Tyrvaan Sanomat and', 'ORG'), ('Paikallissanomat', 'ORG'), ('Sastamala', 'GPE'), ('Suomen Paikallissanomat Oy', 'ORG')]"
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",negative,[]
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",neutral,"[('the same day', 'DATE'), ('10:30 a.m.', 'TIME'), ('Stonesoft Headquarters', 'ORG'), ('Helsinki', 'GPE'), ('Stonesoft', 'PERSON'), ('Ilkka Hiidenheimo', 'PERSON')]"
